,Beach,2020,2019,2018,latitude,longitude
0,Anglers' Beach ,234.32,211.15,337.79,22.364805485720254,114.05594743853688
1,Approach Beach,412.61,195.67,171.0,22.36745829334091,114.08602772986136
2,Big Wave Bay Beach,97.67,251.38,216.46,22.246563430876154,114.24716255990234
3,Butterfly Beach,318.26,144.34,157.51,22.37274748333596,113.95645181215725
4,Cafeteria New Beach,155.85,104.51,43.35,22.37355342015393,113.98677173199845
5,Cafeteria Old Beach,255.94,175.87,94.55,22.375270147126027,113.98418539248289
6,Casam Beach,166.27,182.08,190.68,22.36757972803291,114.074908251537
7,Castle Peak Beach,634.54,276.92,155.57,22.37956791534192,113.97960833069283
8,Cheung Chau Tung Wan Beach ,47.12,31.66,18.71,22.21039178253311,114.02993887394258
9,Chung Hom Kok Beach,187.75,277.82,15.52,22.217620422373038,114.20216687286909
10,Clear Water Bay First Beach,40.03,290.43,135.68,22.291134944680753,114.29099957792428
11,Clear Water Bay Second Beach,100.45,130.91,64.25,22.288241729819067,114.28776583280896
12,Deep Water Bay Beach,38.43,148.96,58.0,22.24389408672067,114.1880410488942
13,Discovery Bay,93.03,26.78,147.87,22.29819514923795,114.01536738375385
14,Gemini Beaches,215.0,158.55,288.7,22.36392464605362,114.06927955911142
15,Golden Beach,164.02,56.9,44.5,22.372194327252174,113.98801522210495
16,Hairpin Beach,17.12,55.84,42.38,22.224033746025015,114.21507500587829
17,Hap Mun Bay Beach,34.72,3.92,12.76,22.35721000820716,114.29429223973942
18,Hoi Mei Wan Beach,184.24,328.2,169.38,22.36483488529008,114.07110683982087
19,Hung Shing Yeh Beach,12.25,14.32,11.29,22.218728731932906,114.11971451468223
20,Kadoorie Beach,208.09,101.97,88.32,22.37653783528402,113.98144016865709
21,Kiu Tsui (New),22.5,110.79,29.73,22.367692267734313,114.28735926386187
22,Kiu Tsui Beach,290.52,346.9,27.59,22.36831427364566,114.28876054362283
23,Kwun Yam Beach,32.24,22.68,72.82,22.207268408799155,114.03409159923973
24,Lido Beach,137.12,213.08,220.1,22.36763992994288,114.07613538100452
25,Lo So Shing Beach,38.94,6.56,18.14,22.20441856024502,114.12263346461683
26,Lower Cheung Sha Beach,44.62,285.74,22.18,22.232395734163756,113.94544301799574
27,Ma Wan Tung Wan Beach,196.69,153.0,344.07,22.349983403479055,114.061677555632
28,Middle Bay Beach,35.85,46.67,60.43,22.229704285379025,114.19808455927304
29,Pui O Beach,42.56,58.66,71.68,22.239701454653222,113.97678100913038
30,Repulse Bay Beach,12.08,20.04,14.47,22.23636757625453,114.19637631530613
31,Rocky Bay Beach,75.52,478.18,89.18,22.23170452966603,114.25188280859115
32,Shek O Beach,23.24,75.13,121.44,22.231415352784673,114.25203807769596
33,Silver Mine Bay Beach,129.67,891.75,268.8,22.270584643245883,113.99938494351966
34,Silverstrand Beach,139.96,104.62,84.91,22.322604403568274,114.27226275860988
35,South Bay Beach,6.18,67.87,5.95,22.22495555244463,114.1975634549142
36,St. Stephen's Beach,15.21,38.66,31.98,22.211902510226448,114.21460761803317
37,Stanley Main Beach,17.26,23.14,42.96,22.220190457218354,114.21429117400965
38,Tai Po Lung Mei Beach,51.5,47.86,,22.4719901825197,114.22958386901769
39,Ting Kau Beach,205.15,239.95,261.9,22.36921767295203,114.08048648214934
40,Tong Fuk Beach,14.78,13.9,10.35,22.22817643596967,113.93543064775658
41,Trio Beach ,45.81,69.87,27.0,22.357635004140175,114.26789299053583
42,Turtle Cove Beach,17.61,77.13,5.05,22.232896981090565,114.22337040616982
43,Upper Cheung Sha Beach,9.41,14.21,7.9,22.23412736896008,113.95412028461548
