Year,Textile & Wearing Apparel (Unit : Terajoule),Non-manufacturing (Unit : Terajoule),Food & Beverage (Unit : Terajoule),Metal & Machinery (Unit : Terajoule),Other Industrial (Unit : Terajoule)
2010,951,3023,1585,1714,3808
2011,568,3395,1282,1258,2717
2012,471,3326,1397,1218,2403
2013,394,3143,1469,1209,2191
2014,314,3086,1693,1218,2064
2015,256,3134,1779,1244,1946
2016,207,2790,1846,1211,1818
2017,174,2873,1954,1216,1745
2018,152,2964,1953,1198,1670
2019,132,2581,2050,1148,1590
2020,120,2653,1962,1121,1526
