Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Hot Water (Unit : Terajoule),Lighting (Unit : Terajoule),Refrigeration (Unit : Terajoule),Office Equipment (Unit : Terajoule),Laundry (Unit : Terajoule),Others (Unit : Terajoule)
2010,7172,6949,5279,2178,3003,2815,,1333
2011,7028,7201,5259,2204,2891,2945,,1606
2012,6788,7364,5113,2208,2743,3099,,2008
2013,7301,6914,5450,1874,2404,2505,,2042
2014,7499,8322,6055,1752,2292,2357,,2271
2015,7243,8046,6136,1500,1972,2047,,2296
2016,7706,8323,6933,1379,1789,1893,,2465
2017,7888,8203,7242,1220,1523,1652,1465,1036
2018,8216,8009,7215,1203,1502,1629,1445,1022
2019,7850,8206,7035,1239,1567,1678,1486,1052
2020,8422,9257,7711,1320,1667,1788,1586,1122
